topology;metric;up;down
01;rtt;0.011552;0.000000
01;loss;0.000000;0.000000
01;throughput_tcp;91194161.102915;91147336.677704
01;rtt;0.002131;0.000000
01;loss;0.000000;0.000000
01;throughput_tcp;91191482.212794;91167743.244454
01;rtt;0.002140;0.000000
01;loss;0.000000;0.000000
01;throughput_tcp;91194018.857005;91120019.567338
01;rtt;0.002144;0.000000
01;loss;0.000000;0.000000
01;throughput_tcp;91192201.919267;91166902.118422
01;rtt;0.002132;0.000000
01;loss;0.000000;0.000000
01;throughput_tcp;91195654.711762;91147066.405047
02;rtt;0.160681;0.000000
02;loss;0.000000;0.000000
02;rtt;0.000000;0.000000
02;loss;0.000000;0.000000
02;throughput_tcp;1471177.022207;1925010.824723
02;rtt;0.002142;0.000000
02;loss;0.000000;0.000000
02;rtt;0.000000;0.000000
02;loss;0.000000;0.000000
02;throughput_tcp;1516908.235316;1927176.037012
02;rtt;0.002159;0.000000
02;loss;0.000000;0.000000
02;throughput_tcp;1505579.268587;1926202.408959
02;throughput_tcp;1477745.466901;1926293.530017
02;throughput_tcp;1471120.564389;1926333.145172
03;rtt;0.017295;0.000000
03;loss;0.000000;0.000000
03;throughput_tcp;86217098.789601;86145033.950436
03;rtt;0.006143;0.000000
03;loss;0.000000;0.000000
03;throughput_tcp;86209937.010509;86118012.264391
03;rtt;0.006151;0.000000
03;loss;0.000000;0.000000
03;throughput_tcp;86222831.188995;86115570.444401
03;rtt;0.006156;0.000000
03;loss;0.000000;0.000000
03;throughput_tcp;86210879.839448;86197052.735389
03;rtt;0.006099;0.000000
03;loss;0.000000;0.000000
03;throughput_tcp;86194303.887529;86217613.374508
04;rtt;0.093945;0.000000
04;loss;0.000000;0.000000
04;throughput_tcp;4391012.417931;4802581.172191
04;rtt;0.000000;0.000000
04;loss;0.000000;0.000000
04;rtt;0.000000;0.000000
04;loss;0.000000;0.000000
04;rtt;0.000000;0.000000
04;loss;0.000000;0.000000
04;throughput_tcp;4385782.053354;4803748.083243
04;rtt;0.006138;0.000000
04;loss;0.000000;0.000000
04;throughput_tcp;4567789.301603;4803717.613252
04;throughput_tcp;4201349.780501;4805067.528172
04;throughput_tcp;4230319.068063;4804163.150185
05;rtt;0.018122;0.000000
05;loss;0.000000;0.000000
05;throughput_tcp;76411131.619598;76329593.760038
05;rtt;0.010145;0.000000
05;loss;0.000000;0.000000
05;throughput_tcp;76409922.748341;76360352.632914
05;rtt;0.010147;0.000000
05;loss;0.000000;0.000000
05;throughput_tcp;76410613.475756;76360153.166270
05;rtt;0.010160;0.000000
05;loss;0.000000;0.000000
05;rtt;0.000000;0.000000
05;loss;0.000000;0.000000
05;throughput_tcp;76374215.799223;76361715.682874
05;throughput_tcp;76402227.965836;76359488.284982
06;rtt;0.049109;0.000000
06;loss;0.000000;0.000000
06;rtt;0.000000;0.000000
06;loss;0.000000;0.000000
06;throughput_tcp;9597520.575651;9597731.504407
06;rtt;0.010140;0.000000
06;loss;0.000000;0.000000
06;rtt;0.000000;0.000000
06;loss;0.000000;0.000000
06;throughput_tcp;9599641.591513;9599845.500217
06;rtt;0.010170;0.000000
06;loss;0.000000;0.000000
06;throughput_tcp;9608156.675494;9599728.643283
06;throughput_tcp;9600266.655721;9599952.260848
06;throughput_tcp;9600225.076535;9599266.117587
07;rtt;0.000000;0.000000
07;loss;0.000000;0.000000
07;rtt;0.000000;0.000000
07;loss;0.000000;0.000000
07;throughput_tcp;14400388.736174;14395365.811956
07;rtt;0.014160;0.000000
07;loss;0.000000;0.000000
07;rtt;0.000000;0.000000
07;loss;0.000000;0.000000
07;throughput_tcp;14393026.757436;14394833.766121
07;rtt;0.014168;0.000000
07;loss;0.000000;0.000000
07;throughput_tcp;14395502.760852;14395704.505241
07;throughput_tcp;14404864.757255;14395773.651364
07;throughput_tcp;14400078.586292;14395878.790325
08;rtt;0.000000;0.000000
08;loss;0.000000;0.000000
08;throughput_tcp;66379674.287137;66397910.116703
08;rtt;0.018146;0.000000
08;loss;0.000000;0.000000
08;throughput_tcp;66379517.276088;66333419.574073
08;rtt;0.018159;0.000000
08;loss;0.000000;0.000000
08;throughput_tcp;66375114.988663;66383391.152962
08;rtt;0.018170;0.000000
08;loss;0.000000;0.000000
08;rtt;0.000000;0.000000
08;loss;0.000000;0.000000
08;throughput_tcp;66378679.226402;66381864.863212
08;throughput_tcp;66378010.007807;66377802.763772
09;rtt;0.000000;0.000000
09;loss;0.000000;0.000000
09;throughput_tcp;19179486.388988;19178760.760032
09;rtt;0.018152;0.000000
09;loss;0.000000;0.000000
09;rtt;0.000000;0.000000
09;loss;0.000000;0.000000
09;throughput_tcp;19181213.124316;19177676.613295
09;rtt;0.018162;0.000000
09;loss;0.000000;0.000000
09;rtt;0.000000;0.000000
09;loss;0.000000;0.000000
09;throughput_tcp;19149150.587595;19177810.814367
09;throughput_tcp;19179912.669171;19181078.875622
09;throughput_tcp;19181257.175078;19177285.553694
10;rtt;0.000000;0.000000
10;loss;0.000000;0.000000
10;throughput_tcp;61461129.207704;61464925.310902
10;rtt;0.022148;0.000000
10;loss;0.000000;0.000000
10;throughput_tcp;61469012.703666;61375409.161861
10;rtt;0.022154;0.000000
10;loss;0.000000;0.000000
10;rtt;0.000000;0.000000
10;loss;0.000000;0.000000
10;throughput_tcp;61452704.072585;61366729.752831
10;rtt;0.022495;0.000000
10;loss;0.000000;0.000000
10;throughput_tcp;61460294.666332;61403781.693525
10;throughput_tcp;61472088.030735;61408919.828037
11;rtt;0.000000;0.000000
11;loss;0.000000;0.000000
11;throughput_tcp;23941454.884959;23939642.916022
11;rtt;0.022141;0.000000
11;loss;0.000000;0.000000
11;rtt;0.000000;0.000000
11;loss;0.000000;0.000000
11;throughput_tcp;23939272.059892;23938744.385735
11;rtt;0.022160;0.000000
11;loss;0.000000;0.000000
11;rtt;0.000000;0.000000
11;loss;0.000000;0.000000
11;throughput_tcp;23934936.183034;23941335.603548
11;throughput_tcp;23939338.225012;23939591.452921
11;throughput_tcp;23939659.253561;23940944.270826
12;rtt;0.030769;0.000000
12;loss;0.000000;0.000000
12;throughput_tcp;56605314.332676;56596368.902893
12;rtt;0.026152;0.000000
12;loss;0.000000;0.000000
12;throughput_tcp;56605716.235602;56607917.668781
12;rtt;0.026161;0.000000
12;loss;0.000000;0.000000
12;throughput_tcp;56607072.700114;56602843.668480
12;rtt;0.026159;0.000000
12;loss;0.000000;0.000000
12;rtt;0.000000;0.000000
12;loss;0.000000;0.000000
12;throughput_tcp;56606752.988818;56604894.167537
12;throughput_tcp;56607629.919862;56576059.260640
13;rtt;0.000000;0.000000
13;loss;0.000000;0.000000
13;throughput_tcp;28655724.120408;28650218.326500
13;rtt;0.026143;0.000000
13;loss;0.000000;0.000000
13;rtt;0.000000;0.000000
13;loss;0.000000;0.000000
13;throughput_tcp;28655670.280936;28652219.124801
13;rtt;0.026165;0.000000
13;loss;0.000000;0.000000
13;throughput_tcp;28651631.726966;28652003.820807
13;rtt;0.026172;0.000000
13;loss;0.000000;0.000000
13;throughput_tcp;28655920.753241;28654282.228750
13;throughput_tcp;28656132.604730;28628132.183158
14;rtt;0.033418;0.000000
14;loss;0.000000;0.000000
14;throughput_tcp;51821317.561148;51813357.167980
14;rtt;0.030151;0.000000
14;loss;0.000000;0.000000
14;throughput_tcp;51824399.042939;51818668.928072
14;rtt;0.030157;0.000000
14;loss;0.000000;0.000000
14;rtt;0.000000;0.000000
14;loss;0.000000;0.000000
14;throughput_tcp;51812293.416089;51818619.173105
14;rtt;0.030111;0.000000
14;loss;0.000000;0.000000
14;throughput_tcp;51820513.756599;51797742.003573
14;throughput_tcp;51821619.951219;51725343.809514
15;rtt;0.037376;0.000000
15;loss;0.000000;0.000000
15;throughput_tcp;33308707.638211;33310333.377406
15;rtt;0.030141;0.000000
15;loss;0.000000;0.000000
15;rtt;0.000000;0.000000
15;loss;0.000000;0.000000
15;throughput_tcp;33302228.398740;33308834.149185
15;rtt;0.030072;0.000000
15;loss;0.000000;0.000000
15;throughput_tcp;33308528.943096;33310611.729989
15;rtt;0.030157;0.000000
15;loss;0.000000;0.000000
15;throughput_tcp;33308767.730804;33311048.246816
15;throughput_tcp;33309237.409331;33311195.336585
16;rtt;0.000000;0.000000
16;loss;0.000000;0.000000
16;throughput_tcp;47066702.763754;47065483.985747
16;rtt;0.034143;0.000000
16;loss;0.000000;0.000000
16;throughput_tcp;47034634.571781;47063431.781993
16;rtt;0.034159;0.000000
16;loss;0.000000;0.000000
16;rtt;0.000000;0.000000
16;loss;0.000000;0.000000
16;throughput_tcp;47064331.572376;46974943.974962
16;rtt;0.034162;0.000000
16;loss;0.000000;0.000000
16;throughput_tcp;47061496.559960;47067207.975215
16;throughput_tcp;47063987.437956;47073217.665769
17;rtt;0.000000;0.000000
17;loss;0.000000;0.000000
17;throughput_tcp;46709419.507583;46705883.953129
17;rtt;0.042152;0.000000
17;loss;0.000000;0.000000
17;throughput_tcp;46707802.476945;46715549.692253
17;rtt;0.042152;0.000000
17;loss;0.000000;0.000000
17;rtt;0.000000;0.000000
17;loss;0.000000;0.000000
17;throughput_tcp;46708402.631020;46708869.082662
17;rtt;0.042155;0.000000
17;loss;0.000000;0.000000
17;throughput_tcp;46703719.972797;46705022.689808
17;throughput_tcp;46710750.532190;46715602.572484
18;rtt;0.049118;0.000000
18;loss;0.000000;0.000000
18;throughput_tcp;32995431.122034;32994285.952190
18;rtt;0.046135;0.000000
18;loss;0.000000;0.000000
18;rtt;0.000000;0.000000
18;loss;0.000000;0.000000
18;throughput_tcp;32989319.814354;32996054.947182
18;rtt;0.046159;0.000000
18;loss;0.000000;0.000000
18;throughput_tcp;32995698.029409;32995781.826801
18;rtt;0.046171;0.000000
18;loss;0.000000;0.000000
18;throughput_tcp;32994967.147979;32995606.473486
18;throughput_tcp;32987889.670199;32982210.647111
19;rtt;0.049482;0.000000
19;loss;0.000000;0.000000
19;throughput_tcp;50884739.181914;50886130.573366
19;rtt;0.046139;0.000000
19;loss;0.000000;0.000000
19;throughput_tcp;50883469.649737;50885916.508189
19;rtt;0.046146;0.000000
19;loss;0.000000;0.000000
19;rtt;0.000000;0.000000
19;loss;0.000000;0.000000
19;throughput_tcp;50874662.169554;50887540.495900
19;rtt;0.046121;0.000000
19;loss;0.000000;0.000000
19;throughput_tcp;50885466.239042;50879476.941129
19;throughput_tcp;50895669.373909;50890666.964087
20;rtt;0.054955;0.000000
20;loss;0.000000;0.000000
20;throughput_tcp;28334639.755276;28332000.000872
20;rtt;0.050149;0.000000
20;loss;0.000000;0.000000
20;rtt;0.000000;0.000000
20;loss;0.000000;0.000000
20;throughput_tcp;28329198.302985;28333152.186883
20;rtt;0.050164;0.000000
20;loss;0.000000;0.000000
20;throughput_tcp;28334328.497275;28288321.622247
20;rtt;0.050166;0.000000
20;loss;0.000000;0.000000
20;throughput_tcp;28334836.583718;28334826.284487
20;throughput_tcp;28336737.492126;28334812.552192
21;rtt;0.000000;0.000000
21;loss;0.000000;0.000000
21;throughput_tcp;54941810.287603;54858617.376030
21;rtt;0.050141;0.000000
21;loss;0.000000;0.000000
21;throughput_tcp;54936290.657768;54948828.659301
21;rtt;0.050150;0.000000
21;loss;0.000000;0.000000
21;rtt;0.000000;0.000000
21;loss;0.000000;0.000000
21;throughput_tcp;54948092.743425;54956757.143464
21;rtt;0.050103;0.000000
21;loss;0.000000;0.000000
21;throughput_tcp;54957678.407780;54901000.723575
21;throughput_tcp;54956632.301610;54945403.160096
22;rtt;0.064487;0.000000
22;loss;0.000000;0.000000
22;throughput_tcp;23612239.212404;23576495.200779
22;rtt;0.060154;0.000000
22;loss;0.000000;0.000000
22;rtt;0.000000;0.000000
22;loss;0.000000;0.000000
22;throughput_tcp;23612499.077458;23609719.533242
22;rtt;0.060166;0.000000
22;loss;0.000000;0.000000
22;rtt;0.000000;0.000000
22;loss;0.000000;0.000000
22;throughput_tcp;23606607.029873;23610599.095237
22;throughput_tcp;23612345.700755;23579669.507609
22;throughput_tcp;23612728.748888;23610702.390467
23;rtt;0.000000;0.000000
23;loss;0.000000;0.000000
23;throughput_tcp;58377972.285092;58287358.620841
23;rtt;0.060151;0.000000
23;loss;0.000000;0.000000
23;throughput_tcp;58366932.946074;58358329.872550
23;rtt;0.060155;0.000000
23;loss;0.000000;0.000000
23;rtt;0.000000;0.000000
23;loss;0.000000;0.000000
23;throughput_tcp;58355262.099496;57983544.024814
23;rtt;0.061220;0.000000
23;loss;0.000000;0.000000
23;throughput_tcp;58378399.582554;58371259.814651
23;throughput_tcp;58365709.327161;58292564.924970
24;rtt;0.080482;0.000000
24;loss;0.000000;0.000000
24;throughput_tcp;18857843.948174;18856447.597435
24;rtt;0.080140;0.000000
24;loss;0.000000;0.000000
24;rtt;0.000000;0.000000
24;loss;0.000000;0.000000
24;throughput_tcp;18857682.761742;18855975.773932
24;rtt;0.080162;0.000000
24;loss;0.000000;0.000000
24;rtt;0.000000;0.000000
24;loss;0.000000;0.000000
24;throughput_tcp;18858006.151139;18855948.407879
24;throughput_tcp;18858001.589143;18858088.774347
24;throughput_tcp;18858245.912507;18858048.222989
25;rtt;0.000000;0.000000
25;loss;0.000000;0.000000
25;throughput_tcp;60122960.995174;60123615.346521
25;rtt;0.080133;0.000000
25;loss;0.000000;0.000000
25;throughput_tcp;60111624.574361;59762944.862025
25;rtt;0.080160;0.000000
25;loss;0.000000;0.000000
25;rtt;0.000000;0.000000
25;loss;0.000000;0.000000
25;throughput_tcp;60113180.024562;59761692.554513
25;rtt;0.080064;0.000000
25;loss;0.000000;0.000000
25;throughput_tcp;60113829.011027;59937266.621621
25;throughput_tcp;60125085.489362;59936017.238483
26;rtt;0.100036;0.000000
26;loss;0.000000;0.000000
26;rtt;0.000000;0.000000
26;loss;0.000000;0.000000
26;throughput_tcp;14114666.925619;14161714.926259
26;rtt;0.100095;0.000000
26;loss;0.000000;0.000000
26;rtt;0.000000;0.000000
26;loss;0.000000;0.000000
26;throughput_tcp;14110679.806778;14156030.032356
26;rtt;0.100103;0.000000
26;loss;0.000000;0.000000
26;throughput_tcp;14164244.214515;14166393.592176
26;throughput_tcp;13990321.249372;14157543.376591
26;throughput_tcp;14170484.214338;14167653.461610
27;rtt;0.000000;0.000000
27;loss;0.000000;0.000000
27;rtt;0.000000;0.000000
27;loss;0.000000;0.000000
27;throughput_tcp;9302621.434623;9385487.511412
27;rtt;0.140146;0.000000
27;loss;0.000000;0.000000
27;rtt;0.000000;0.000000
