+----------+----------------+-------------+-------------+-------------+------------+-----------+-------------+----------------+
| topology |     metric     |     mean    |     min     |     max     |   stdev    | theorical |  difference | error_rate (%) |
+----------+----------------+-------------+-------------+-------------+------------+-----------+-------------+----------------+
|    1     | throughput_tcp | 91.194 Mbps | 91.191 Mbps | 91.196 Mbps | 0.001 Mbps | 95.0 Mbps |  3.806 Mbps |      4.01      |
|    1     |      rtt       |   4.020 ms  |   2.131 ms  |  11.552 ms  |  3.766 ms  |    2 ms   |   2.020 ms  |     100.99     |
|    1     |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    2     | throughput_tcp |  1.489 Mbps |  1.471 Mbps |  1.517 Mbps | 0.019 Mbps |  2.0 Mbps |  0.511 Mbps |     25.57      |
|    2     |      rtt       |  32.996 ms  |   0.000 ms  |  160.681 ms | 63.850 ms  |    2 ms   |  30.996 ms  |    1549.82     |
|    2     |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    3     | throughput_tcp | 86.211 Mbps | 86.194 Mbps | 86.223 Mbps | 0.010 Mbps | 90.0 Mbps |  3.789 Mbps |      4.21      |
|    3     |      rtt       |   8.369 ms  |   6.099 ms  |  17.295 ms  |  4.463 ms  |    6 ms   |   2.369 ms  |     39.48      |
|    3     |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    4     | throughput_tcp |  4.355 Mbps |  4.201 Mbps |  4.568 Mbps | 0.132 Mbps |  5.0 Mbps |  0.645 Mbps |     12.89      |
|    4     |      rtt       |  20.017 ms  |   0.000 ms  |  93.945 ms  | 37.041 ms  |    6 ms   |  14.017 ms  |     233.61     |
|    4     |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    5     | throughput_tcp | 76.402 Mbps | 76.374 Mbps | 76.411 Mbps | 0.014 Mbps | 80.0 Mbps |  3.598 Mbps |      4.50      |
|    5     |      rtt       |   9.715 ms  |   0.000 ms  |  18.122 ms  |  5.755 ms  |   10 ms   |   0.285 ms  |      2.85      |
|    5     |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    6     | throughput_tcp |  9.601 Mbps |  9.598 Mbps |  9.608 Mbps | 0.004 Mbps | 10.0 Mbps |  0.399 Mbps |      3.99      |
|    6     |      rtt       |  13.884 ms  |   0.000 ms  |  49.109 ms  | 18.189 ms  |   10 ms   |   3.884 ms  |     38.84      |
|    6     |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    7     | throughput_tcp | 14.399 Mbps | 14.393 Mbps | 14.405 Mbps | 0.004 Mbps | 15.0 Mbps |  0.601 Mbps |      4.01      |
|    7     |      rtt       |   5.666 ms  |   0.000 ms  |  14.168 ms  |  6.939 ms  |   14 ms   |   8.334 ms  |     59.53      |
|    7     |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    8     | throughput_tcp | 66.378 Mbps | 66.375 Mbps | 66.380 Mbps | 0.002 Mbps | 70.0 Mbps |  3.622 Mbps |      5.17      |
|    8     |      rtt       |  10.895 ms  |   0.000 ms  |  18.170 ms  |  8.896 ms  |   18 ms   |   7.105 ms  |     39.47      |
|    8     |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    9     | throughput_tcp | 19.174 Mbps | 19.149 Mbps | 19.181 Mbps | 0.013 Mbps | 20.0 Mbps |  0.826 Mbps |      4.13      |
|    9     |      rtt       |   7.263 ms  |   0.000 ms  |  18.162 ms  |  8.895 ms  |   18 ms   |  10.737 ms  |     59.65      |
|    9     |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    10    | throughput_tcp | 61.463 Mbps | 61.453 Mbps | 61.472 Mbps | 0.007 Mbps | 65.0 Mbps |  3.537 Mbps |      5.44      |
|    10    |      rtt       |  13.359 ms  |   0.000 ms  |  22.495 ms  | 10.909 ms  |   22 ms   |   8.641 ms  |     39.28      |
|    10    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    11    | throughput_tcp | 23.939 Mbps | 23.935 Mbps | 23.941 Mbps | 0.002 Mbps | 25.0 Mbps |  1.061 Mbps |      4.24      |
|    11    |      rtt       |   8.860 ms  |   0.000 ms  |  22.160 ms  | 10.851 ms  |   22 ms   |  13.140 ms  |     59.73      |
