topology;metric;up;down
01;throughput_tcp;91192027.460858;91122209.020996
01;rtt;0.002139;0.000000
01;loss;0.000000;0.000000
01;rtt;0.002119;0.000000
01;loss;0.000000;0.000000
01;throughput_tcp;91193023.148060;91166309.785460
01;rtt;0.002129;0.000000
01;loss;0.000000;0.000000
01;throughput_tcp;91195216.107265;91121013.684607
01;rtt;0.002133;0.000000
01;loss;0.000000;0.000000
01;rtt;0.002134;0.000000
01;loss;0.000000;0.000000
01;throughput_tcp;91189443.516933;91165717.460195
01;throughput_tcp;91190412.104235;91168454.067285
02;rtt;0.002129;0.000000
02;loss;0.000000;0.000000
02;throughput_tcp;1490897.023524;1927579.763375
02;throughput_tcp;1438468.731945;1927080.656034
02;throughput_tcp;1434059.289867;1927475.356650
02;throughput_tcp;1442624.468028;1927531.419342
02;throughput_tcp;1438876.261430;1927575.054312
02;rtt;0.002139;0.000000
02;loss;0.000000;0.000000
02;rtt;0.002143;0.000000
02;loss;0.000000;0.000000
02;rtt;0.002124;0.000000
02;loss;0.000000;0.000000
02;rtt;0.002130;0.000000
02;loss;0.000000;0.000000
03;throughput_tcp;86227589.341497;86146573.867247
03;rtt;0.006130;0.000000
03;loss;0.000000;0.000000
03;rtt;0.006133;0.000000
03;loss;0.000000;0.000000
03;throughput_tcp;86185527.529766;86123704.205544
03;rtt;0.006139;0.000000
03;loss;0.000000;0.000000
03;throughput_tcp;86222248.377909;86216596.234436
03;rtt;0.006144;0.000000
03;loss;0.000000;0.000000
03;rtt;0.006148;0.000000
03;loss;0.000000;0.000000
03;throughput_tcp;86196527.766384;86114597.983221
03;throughput_tcp;86211294.446257;86109894.540800
04;throughput_tcp;4497795.456976;4804712.210543
04;rtt;0.006132;0.000000
04;loss;0.000000;0.000000
04;rtt;0.006128;0.000000
04;loss;0.000000;0.000000
04;rtt;0.006137;0.000000
04;loss;0.000000;0.000000
04;throughput_tcp;4483406.875355;4804651.557041
04;rtt;0.006146;0.000000
04;loss;0.000000;0.000000
04;rtt;0.006149;0.000000
04;loss;0.000000;0.000000
04;throughput_tcp;4560762.488684;4804563.735668
04;throughput_tcp;4547668.289915;4805760.683694
04;throughput_tcp;4343736.307001;4804067.322898
05;throughput_tcp;76410197.373408;76372946.074302
05;rtt;0.010145;0.000000
05;loss;0.000000;0.000000
05;rtt;0.010140;0.000000
05;loss;0.000000;0.000000
05;throughput_tcp;76409747.987963;76395837.441595
05;rtt;0.010154;0.000000
05;loss;0.000000;0.000000
05;throughput_tcp;76397520.338783;76398308.217624
05;rtt;0.010159;0.000000
05;loss;0.000000;0.000000
05;rtt;0.010162;0.000000
05;loss;0.000000;0.000000
05;throughput_tcp;76382830.180625;76327740.517262
05;throughput_tcp;76412710.700571;76393234.886005
06;throughput_tcp;9600096.793187;9600153.880282
06;rtt;0.010138;0.000000
06;loss;0.000000;0.000000
06;rtt;0.010137;0.000000
06;loss;0.000000;0.000000
06;rtt;0.010146;0.000000
06;loss;0.000000;0.000000
06;throughput_tcp;9607217.504867;9599469.300860
06;rtt;0.010165;0.000000
06;loss;0.000000;0.000000
06;rtt;0.010169;0.000000
06;loss;0.000000;0.000000
06;throughput_tcp;9600219.415181;9599771.602473
06;throughput_tcp;9602197.183356;9599809.739583
06;throughput_tcp;9608186.562331;9600216.463336
07;rtt;0.014144;0.000000
07;loss;0.000000;0.000000
07;throughput_tcp;14395430.689557;14395744.382180
07;throughput_tcp;14402423.527566;14394762.781148
07;throughput_tcp;14400066.397292;14394851.698715
07;throughput_tcp;14400273.971610;14396009.660224
07;throughput_tcp;14403559.996903;14395157.945149
07;rtt;0.014100;0.000000
07;loss;0.000000;0.000000
07;rtt;0.014154;0.000000
07;loss;0.000000;0.000000
07;rtt;0.014108;0.000000
07;loss;0.000000;0.000000
07;rtt;0.014162;0.000000
07;loss;0.000000;0.000000
08;throughput_tcp;66380205.372581;66296324.367167
08;rtt;0.018142;0.000000
08;loss;0.000000;0.000000
08;rtt;0.018144;0.000000
08;loss;0.000000;0.000000
08;throughput_tcp;66379100.008670;66377042.880047
08;rtt;0.018158;0.000000
08;loss;0.000000;0.000000
08;throughput_tcp;66378223.533319;66380652.674860
08;rtt;0.018157;0.000000
08;loss;0.000000;0.000000
08;rtt;0.018167;0.000000
08;loss;0.000000;0.000000
08;throughput_tcp;66384735.351029;66333131.076798
08;throughput_tcp;66379749.652704;66271262.537188
09;throughput_tcp;19181003.885959;19179816.715153
09;rtt;0.018144;0.000000
09;loss;0.000000;0.000000
09;rtt;0.018148;0.000000
09;loss;0.000000;0.000000
09;rtt;0.018151;0.000000
09;loss;0.000000;0.000000
09;throughput_tcp;19181069.960737;19179860.235162
09;rtt;0.018168;0.000000
09;loss;0.000000;0.000000
09;rtt;0.018158;0.000000
09;loss;0.000000;0.000000
09;throughput_tcp;19181282.871449;19179763.233002
09;throughput_tcp;19179851.321409;19168160.467247
09;throughput_tcp;19181569.207101;19175662.774351
10;throughput_tcp;61458302.626933;61459772.416487
10;rtt;0.022146;0.000000
10;loss;0.000000;0.000000
10;rtt;0.022144;0.000000
10;loss;0.000000;0.000000
10;throughput_tcp;61460047.000351;61479656.476820
10;rtt;0.022158;0.000000
10;loss;0.000000;0.000000
10;rtt;0.022162;0.000000
10;loss;0.000000;0.000000
10;throughput_tcp;61472745.145769;61459099.427197
10;rtt;0.022173;0.000000
10;loss;0.000000;0.000000
10;throughput_tcp;61458081.895380;61479203.933713
10;throughput_tcp;61460446.292384;61353729.905451
11;throughput_tcp;23939049.878464;23919646.977558
11;rtt;0.022150;0.000000
11;loss;0.000000;0.000000
11;rtt;0.022143;0.000000
11;loss;0.000000;0.000000
11;rtt;0.022110;0.000000
11;loss;0.000000;0.000000
11;throughput_tcp;23939355.378991;23941356.028363
11;rtt;0.022167;0.000000
11;loss;0.000000;0.000000
11;rtt;0.022168;0.000000
11;loss;0.000000;0.000000
11;throughput_tcp;23937932.499104;23919824.760567
11;throughput_tcp;23939402.756777;23939604.522894
11;throughput_tcp;23939762.997451;23919646.977558
12;rtt;0.026133;0.000000
12;loss;0.000000;0.000000
12;throughput_tcp;56606077.039682;56592958.603017
12;throughput_tcp;56608493.175396;56517759.265263
12;rtt;0.026140;0.000000
12;loss;0.000000;0.000000
12;throughput_tcp;56606885.440203;56607132.075467
12;rtt;0.026158;0.000000
12;loss;0.000000;0.000000
12;rtt;0.026161;0.000000
12;loss;0.000000;0.000000
12;throughput_tcp;56615253.970435;56606332.802321
12;rtt;0.026164;0.000000
12;loss;0.000000;0.000000
12;throughput_tcp;56606077.039682;56610233.468969
13;throughput_tcp;28656074.081906;28653843.556045
13;rtt;0.026145;0.000000
13;loss;0.000000;0.000000
13;rtt;0.026144;0.000000
13;loss;0.000000;0.000000
13;rtt;0.026159;0.000000
13;loss;0.000000;0.000000
13;throughput_tcp;28655621.123334;28652126.684103
13;rtt;0.026162;0.000000
13;loss;0.000000;0.000000
13;throughput_tcp;28655694.859800;28653879.648552
13;rtt;0.026171;0.000000
13;loss;0.000000;0.000000
13;throughput_tcp;28655896.173989;28653918.267673
13;throughput_tcp;28655699.541494;28655622.293751
14;throughput_tcp;51821187.419672;51815603.435068
14;rtt;0.030139;0.000000
14;loss;0.000000;0.000000
14;rtt;0.030129;0.000000
14;loss;0.000000;0.000000
14;throughput_tcp;51817432.736815;51818565.968025
14;rtt;0.030153;0.000000
14;loss;0.000000;0.000000
14;rtt;0.030149;0.000000
14;loss;0.000000;0.000000
14;throughput_tcp;51820127.173767;51817654.711086
14;rtt;0.030179;0.000000
14;loss;0.000000;0.000000
14;throughput_tcp;51826485.471580;51810322.911982
14;throughput_tcp;51820720.446815;51825248.907355
15;throughput_tcp;33308296.484180;33310391.894324
15;rtt;0.030143;0.000000
15;loss;0.000000;0.000000
15;rtt;0.030143;0.000000
15;loss;0.000000;0.000000
15;throughput_tcp;33308223.742601;33313504.658074
15;rtt;0.030151;0.000000
15;loss;0.000000;0.000000
15;rtt;0.030166;0.000000
15;loss;0.000000;0.000000
15;throughput_tcp;33308516.292188;33299583.987199
15;rtt;0.030172;0.000000
15;loss;0.000000;0.000000
15;throughput_tcp;33309139.360868;33313172.475679
15;throughput_tcp;33309137.779446;33308973.312368
16;throughput_tcp;47059867.687288;47069178.403550
16;rtt;0.034138;0.000000
16;loss;0.000000;0.000000
16;rtt;0.034143;0.000000
16;loss;0.000000;0.000000
16;throughput_tcp;47063033.990897;47074877.433305
16;rtt;0.034163;0.000000
16;loss;0.000000;0.000000
16;rtt;0.034168;0.000000
16;loss;0.000000;0.000000
16;throughput_tcp;47062399.433306;47066753.284412
16;rtt;0.034173;0.000000
16;loss;0.000000;0.000000
16;throughput_tcp;47063933.766069;47044846.968531
16;throughput_tcp;46975302.534853;47060704.206649
17;throughput_tcp;46703458.816318;46706263.292177
17;rtt;0.042146;0.000000
17;loss;0.000000;0.000000
17;rtt;0.042148;0.000000
17;loss;0.000000;0.000000
17;throughput_tcp;46702404.893061;46705128.402729
17;rtt;0.042163;0.000000
17;loss;0.000000;0.000000
17;rtt;0.042169;0.000000
17;loss;0.000000;0.000000
17;throughput_tcp;46683007.523666;46701385.213180
17;rtt;0.042176;0.000000
17;loss;0.000000;0.000000
17;throughput_tcp;46703356.219929;46714899.586261
17;throughput_tcp;46703029.779871;46689460.130089
18;throughput_tcp;32997864.483913;32997845.859883
18;rtt;0.046147;0.000000
18;loss;0.000000;0.000000
18;rtt;0.046146;0.000000
18;loss;0.000000;0.000000
18;throughput_tcp;32995195.253994;32993061.732510
18;rtt;0.046151;0.000000
18;loss;0.000000;0.000000
18;rtt;0.046165;0.000000
18;loss;0.000000;0.000000
18;throughput_tcp;32997220.415072;32997505.975022
18;rtt;0.046175;0.000000
18;loss;0.000000;0.000000
18;throughput_tcp;32997623.925139;32997656.516768
18;throughput_tcp;32998106.598221;32941744.973766
19;throughput_tcp;50887603.242960;50890637.432484
19;rtt;0.046149;0.000000
19;loss;0.000000;0.000000
19;rtt;0.046152;0.000000
19;loss;0.000000;0.000000
19;throughput_tcp;50884303.695715;50890220.302254
19;rtt;0.046163;0.000000
19;loss;0.000000;0.000000
19;rtt;0.046165;0.000000
19;loss;0.000000;0.000000
19;throughput_tcp;50884336.910501;50734277.074736
19;rtt;0.046170;0.000000
19;loss;0.000000;0.000000
19;throughput_tcp;50892449.998118;50888902.510967
19;throughput_tcp;50885979.251244;50883949.407357
20;throughput_tcp;28334734.736101;28334893.801801
20;rtt;0.050140;0.000000
20;loss;0.000000;0.000000
20;rtt;0.050146;0.000000
20;loss;0.000000;0.000000
20;rtt;0.050153;0.000000
20;loss;0.000000;0.000000
20;throughput_tcp;28334101.924060;28333069.803045
20;rtt;0.050172;0.000000
20;loss;0.000000;0.000000
20;throughput_tcp;28334677.518660;28334755.334436
20;rtt;0.050167;0.000000
20;loss;0.000000;0.000000
20;throughput_tcp;28336536.059286;28337011.033350
20;throughput_tcp;28334797.675553;28334908.678541
21;throughput_tcp;54939448.283743;54939590.256380
21;rtt;0.050146;0.000000
21;loss;0.000000;0.000000
21;rtt;0.050154;0.000000
21;loss;0.000000;0.000000
21;throughput_tcp;54957859.220291;54902680.577688
21;rtt;0.050168;0.000000
21;loss;0.000000;0.000000
21;rtt;0.050166;0.000000
21;loss;0.000000;0.000000
21;throughput_tcp;54956959.474569;54904498.029236
21;rtt;0.050177;0.000000
21;loss;0.000000;0.000000
21;throughput_tcp;54957549.256716;54936092.780489
21;throughput_tcp;54957011.133813;54955874.652873
22;rtt;0.060142;0.000000
22;loss;0.000000;0.000000
22;throughput_tcp;23612292.456459;23605717.440067
22;throughput_tcp;23610972.551495;23573833.435640
22;throughput_tcp;23611942.003727;23610712.720040
22;throughput_tcp;23612495.898646;23610522.021693
22;throughput_tcp;23612552.322686;23610959.043297
22;rtt;0.060100;0.000000
22;loss;0.000000;0.000000
22;rtt;0.060162;0.000000
22;loss;0.000000;0.000000
22;rtt;0.060157;0.000000
22;loss;0.000000;0.000000
22;rtt;0.060099;0.000000
22;loss;0.000000;0.000000
23;throughput_tcp;58369836.900628;57996893.238527
23;rtt;0.060146;0.000000
23;loss;0.000000;0.000000
23;rtt;0.060141;0.000000
23;loss;0.000000;0.000000
23;throughput_tcp;58365995.804767;58357096.902041
23;rtt;0.060154;0.000000
23;loss;0.000000;0.000000
23;rtt;0.060168;0.000000
23;loss;0.000000;0.000000
23;throughput_tcp;58369108.395273;58368671.375190
23;rtt;0.060175;0.000000
23;loss;0.000000;0.000000
23;throughput_tcp;58364364.376672;58313956.396232
23;throughput_tcp;58377787.526270;58291165.220317
24;throughput_tcp;18858016.795806;18858180.522439
24;rtt;0.080140;0.000000
24;loss;0.000000;0.000000
24;rtt;0.080149;0.000000
24;loss;0.000000;0.000000
24;rtt;0.080158;0.000000
24;loss;0.000000;0.000000
24;throughput_tcp;18857829.755547;18858029.468045
