+----------+----------------+-------------+-------------+-------------+------------+-----------+-------------+----------------+
| topology |     metric     |     mean    |     min     |     max     |   stdev    | theorical |  difference | error_rate (%) |
+----------+----------------+-------------+-------------+-------------+------------+-----------+-------------+----------------+
|    1     | throughput_tcp | 91.123 Mbps | 91.110 Mbps | 91.127 Mbps | 0.007 Mbps | 95.0 Mbps |  3.877 Mbps |      4.08      |
|    1     |      rtt       |   2.176 ms  |   2.149 ms  |   2.206 ms  |  0.020 ms  |    2 ms   |   0.176 ms  |      8.78      |
|    1     |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    2     | throughput_tcp |  1.615 Mbps |  1.578 Mbps |  1.665 Mbps | 0.031 Mbps |  2.0 Mbps |  0.385 Mbps |     19.27      |
|    2     |      rtt       |   2.179 ms  |   2.160 ms  |   2.209 ms  |  0.018 ms  |    2 ms   |   0.179 ms  |      8.96      |
|    2     |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    3     | throughput_tcp | 86.294 Mbps | 86.261 Mbps | 86.302 Mbps | 0.016 Mbps | 90.0 Mbps |  3.706 Mbps |      4.12      |
|    3     |      rtt       |   6.175 ms  |   6.148 ms  |   6.206 ms  |  0.019 ms  |    6 ms   |   0.175 ms  |      2.91      |
|    3     |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    4     | throughput_tcp |  4.725 Mbps |  4.702 Mbps |  4.756 Mbps | 0.020 Mbps |  5.0 Mbps |  0.275 Mbps |      5.49      |
|    4     |      rtt       |   6.156 ms  |   6.133 ms  |   6.174 ms  |  0.014 ms  |    6 ms   |   0.156 ms  |      2.59      |
|    4     |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    5     | throughput_tcp | 76.659 Mbps | 76.616 Mbps | 76.674 Mbps | 0.021 Mbps | 80.0 Mbps |  3.341 Mbps |      4.18      |
|    5     |      rtt       |  10.164 ms  |  10.136 ms  |  10.184 ms  |  0.019 ms  |   10 ms   |   0.164 ms  |      1.64      |
