agent;manager;first-trigger-time;polling-throughput-tcp;polling-rtt;polling-loss
cdn1;m5;0.005;-1;40;-1
cdn2;a4;0.01;-1;40;-1
cdn3;c2;0.015;-1;40;-1
ext1;i1;0.02;-1;40;-1
man1;c1;0.025;-1;40;-1
man2;c2;0.03;-1;40;-1
man3;c3;0.035;-1;40;-1
man4;c4;0.04;-1;40;-1
r1;m1;0.045;-1;40;-1
r2;m1;0.05;-1;40;-1
r3;m1;0.055;-1;40;-1
r4;m1;0.06;-1;40;-1
r5;m2;0.065;-1;40;-1
r6;m2;0.07;-1;40;-1
r7;m2;0.075;-1;40;-1
r8;m2;0.08;-1;40;-1
r9;m3;0.085;-1;40;-1
r10;m3;0.09;-1;40;-1
r11;m3;0.095;-1;40;-1
r12;m3;0.1;-1;40;-1
r13;m4;0.105;-1;40;-1
r14;m4;0.11;-1;40;-1
r15;m4;0.115;-1;40;-1
r16;m4;0.12;-1;40;-1
r17;m5;0.125;-1;40;-1
r18;m5;0.13;-1;40;-1
r19;m5;0.135;-1;40;-1
r20;m5;0.14;-1;40;-1
m1;m2;0.145;-1;40;-1
m2;m3;0.15;-1;40;-1
m3;m4;0.155;-1;40;-1
m4;m5;0.16;-1;40;-1
m5;m1;0.165;-1;40;-1
m2;a2;0.17;-1;40;-1
m3;a3;0.17500000000000002;-1;40;-1
a1;a2;0.18;-1;40;-1
a2;a3;0.185;-1;40;-1
a3;a4;0.19;-1;40;-1
a4;a1;0.195;-1;40;-1
a1;c1;0.2;-1;40;-1
a2;c1;0.20500000000000002;-1;40;-1
a3;c2;0.21;-1;40;-1
a4;c2;0.215;-1;40;-1
c1;c2;0.22;-1;40;-1
c1;c3;0.225;-1;40;-1
c1;c4;0.23;-1;40;-1
c2;c3;0.23500000000000001;-1;40;-1
c2;c4;0.24;-1;40;-1
c3;c4;0.245;-1;40;-1
c3;i1;0.25;-1;40;-1
c4;i1;0.255;-1;40;-1
u001;r1;0.26;-1;40;-1
u002;r1;0.265;-1;40;-1
u003;r1;0.27;-1;40;-1
u004;r1;0.275;-1;40;-1
u005;r1;0.28;-1;40;-1
u006;r1;0.28500000000000003;-1;40;-1
u007;r1;0.29;-1;40;-1
u008;r1;0.295;-1;40;-1
u009;r1;0.3;-1;40;-1
u010;r1;0.305;-1;40;-1
u011;r2;0.31;-1;40;-1
u012;r2;0.315;-1;40;-1
u013;r2;0.32;-1;40;-1
u014;r2;0.325;-1;40;-1
u015;r2;0.33;-1;40;-1
u016;r2;0.335;-1;40;-1
u017;r2;0.34;-1;40;-1
u018;r2;0.34500000000000003;-1;40;-1
u019;r2;0.35000000000000003;-1;40;-1
u020;r2;0.355;-1;40;-1
u021;r3;0.36;-1;40;-1
u022;r3;0.365;-1;40;-1
u023;r3;0.37;-1;40;-1
u024;r3;0.375;-1;40;-1
u025;r3;0.38;-1;40;-1
u026;r3;0.385;-1;40;-1
u027;r3;0.39;-1;40;-1
u028;r3;0.395;-1;40;-1
u029;r3;0.4;-1;40;-1
u030;r3;0.405;-1;40;-1
u031;r4;0.41000000000000003;-1;40;-1
u032;r4;0.41500000000000004;-1;40;-1
u033;r4;0.42;-1;40;-1
u034;r4;0.425;-1;40;-1
u035;r4;0.43;-1;40;-1
u036;r4;0.435;-1;40;-1
u037;r4;0.44;-1;40;-1
u038;r4;0.445;-1;40;-1
u039;r4;0.45;-1;40;-1
u040;r4;0.455;-1;40;-1
u041;r5;0.46;-1;40;-1
u042;r5;0.465;-1;40;-1
u043;r5;0.47000000000000003;-1;40;-1
u044;r5;0.47500000000000003;-1;40;-1
u045;r5;0.48;-1;40;-1
u046;r5;0.485;-1;40;-1
u047;r5;0.49;-1;40;-1
u048;r5;0.495;-1;40;-1
u049;r5;0.5;-1;40;-1
u050;r5;0.505;-1;40;-1
u051;r6;0.51;-1;40;-1
u052;r6;0.515;-1;40;-1
u053;r6;0.52;-1;40;-1
u054;r6;0.525;-1;40;-1
u055;r6;0.53;-1;40;-1
u056;r6;0.535;-1;40;-1
u057;r6;0.54;-1;40;-1
u058;r6;0.545;-1;40;-1
u059;r6;0.55;-1;40;-1
u060;r6;0.555;-1;40;-1
u061;r7;0.56;-1;40;-1
u062;r7;0.5650000000000001;-1;40;-1
u063;r7;0.5700000000000001;-1;40;-1
u064;r7;0.5750000000000001;-1;40;-1
u065;r7;0.58;-1;40;-1
u066;r7;0.585;-1;40;-1
u067;r7;0.59;-1;40;-1
u068;r7;0.595;-1;40;-1
u069;r7;0.6;-1;40;-1
u070;r7;0.605;-1;40;-1
u071;r8;0.61;-1;40;-1
u072;r8;0.615;-1;40;-1
u073;r8;0.62;-1;40;-1
u074;r8;0.625;-1;40;-1
u075;r8;0.63;-1;40;-1
u076;r8;0.635;-1;40;-1
u077;r8;0.64;-1;40;-1
u078;r8;0.645;-1;40;-1
u079;r8;0.65;-1;40;-1
u080;r8;0.655;-1;40;-1
u081;r9;0.66;-1;40;-1
u082;r9;0.665;-1;40;-1
u083;r9;0.67;-1;40;-1
u084;r9;0.675;-1;40;-1
u085;r9;0.68;-1;40;-1
u086;r9;0.685;-1;40;-1
u087;r9;0.6900000000000001;-1;40;-1
u088;r9;0.6950000000000001;-1;40;-1
u089;r9;0.7000000000000001;-1;40;-1
u090;r9;0.705;-1;40;-1
u091;r10;0.71;-1;40;-1
u092;r10;0.715;-1;40;-1
